#,Name,difficulty,link,number,class
1770F,"Koxia and Sequence bitmasks,  combinatorics,  dp,  math,  number theory",3100.0,https://codeforces.com/problemset/problem/1770/F,1770,F
1770E,"Koxia and Tree combinatorics,  dfs and similar,  dp,  dsu,  math,  probabilities,  trees",2400.0,https://codeforces.com/problemset/problem/1770/E,1770,E
1770D,"Koxia and Game constructive algorithms,  data structures,  dfs and similar,  dsu,  flows,  games,  graph matchings,  graphs,  implementation",2000.0,https://codeforces.com/problemset/problem/1770/D,1770,D
1770C,"Koxia and Number Theory brute force,  chinese remainder theorem,  math,  number theory",1700.0,https://codeforces.com/problemset/problem/1770/C,1770,C
1770B,Koxia and Permutation constructive algorithms,1000.0,https://codeforces.com/problemset/problem/1770/B,1770,B
1770A,"Koxia and Whiteboards brute force,  greedy",1000.0,https://codeforces.com/problemset/problem/1770/A,1770,A
1769D3,"Игра в Девятку III *special problem,  brute force",2300.0,https://codeforces.com/problemset/problem/1769/D3,1769,D3
1769D2,"Игра в Девятку II *special problem,  brute force",2200.0,https://codeforces.com/problemset/problem/1769/D2,1769,D2
1769D1,"Игра в Девятку I *special problem,  brute force,  dp",1800.0,https://codeforces.com/problemset/problem/1769/D1,1769,D1
1769C2,"Подкрутка II *special problem,  dp",1300.0,https://codeforces.com/problemset/problem/1769/C2,1769,C2
1769C1,"Подкрутка I *special problem,  brute force,  dp,  greedy",1200.0,https://codeforces.com/problemset/problem/1769/C1,1769,C1
1769B2,"Копирование файлов II *special problem,  binary search,  brute force,  math",1400.0,https://codeforces.com/problemset/problem/1769/B2,1769,B2
1769B1,"Копирование файлов I *special problem,  brute force,  implementation,  math",1000.0,https://codeforces.com/problemset/problem/1769/B1,1769,B1
1769A,"Узкая дорога *special problem,  math",800.0,https://codeforces.com/problemset/problem/1769/A,1769,A
1768F,"Wonderful Jump dp,  greedy",2900.0,https://codeforces.com/problemset/problem/1768/F,1768,F
1768E,"Partial Sorting combinatorics,  math,  number theory",2300.0,https://codeforces.com/problemset/problem/1768/E,1768,E
